id,breed,horse_age,horse_gender,feed_keywords,temp_max,temp_min,precipitation,location,colic_keywords,feed_count,horse_keeping,age_group,risk_combination,is_colic
1532,Andalusier,11,mare,corn,15.9,3.5,1.3,Dresden,torsion,0,pasture,11-15,mare_pasture,True
1533,Arabisches Vollblut,28,stallion,silage,14.8,9.5,0.1,Cologne,impaction,0,paddock,21+,stallion_paddock,True
1534,Arabisches Vollblut,17,gelding,corn,25.3,12.8,0.0,Hanover,spasmodic,0,stable,16-20,gelding_stable,True
1535,Arabisches Vollblut,6,gelding,hay,16.9,13.6,18.9,Munich,torsion,0,stable,6-10,gelding_stable,True
1536,Trakehner,5,stallion,silage,20.7,9.2,0.0,Munich,sand,0,pasture,0-5,stallion_pasture,True
1537,Welsh Pony,8,gelding,fresh grass,10.4,3.3,0.2,Frankfurt,displacement,0,pasture,6-10,gelding_pasture,True
1538,Württemberger,25,stallion,corn,28.4,13.6,0.0,Dresden,spasmodic,0,stable,21+,stallion_stable,True
1539,Arabisches Vollblut,27,gelding,haylage,23.8,10.7,0.0,Frankfurt,impaction,0,pasture,21+,gelding_pasture,True
1540,Holsteiner,14,mare,straw,17.5,8.2,0.0,Hanover,impaction,0,pasture,11-15,mare_pasture,True
1541,Welsh Pony,20,stallion,straw,28.0,16.0,0.0,Stuttgart,displacement,0,pasture,16-20,stallion_pasture,True
1542,Holsteiner,11,gelding,haylage,24.8,18.0,35.3,Munich,sand,0,stable,11-15,gelding_stable,True
1543,Holsteiner,3,gelding,straw,8.2,0.4,0.7,Hamburg,torsion,0,stable,0-5,gelding_stable,True
1544,Paint Horse,9,gelding,pellets,15.0,7.8,0.9,Dresden,impaction,0,paddock,6-10,gelding_paddock,True
1545,Westfale,6,stallion,silage,26.6,16.7,1.4,Hamburg,displacement,0,pasture,6-10,stallion_pasture,True
1546,Haflinger,8,gelding,silage,33.5,22.9,1.9,Hanover,sand,0,paddock,6-10,gelding_paddock,True
1547,Englische Vollblüter,2,gelding,corn,10.6,2.7,0.1,Berlin,impaction,0,pasture,0-5,gelding_pasture,True
1548,Lipizzaner,21,gelding,fresh grass,21.5,11.5,0.0,Berlin,spasmodic,0,paddock,21+,gelding_paddock,True
1549,Trakehner,8,mare,corn,14.6,9.2,12.7,Munich,gas,0,pasture,6-10,mare_pasture,True
1550,Oldenburger,10,stallion,hay,32.3,23.5,3.0,Hanover,sand,0,paddock,6-10,stallion_paddock,True
1551,Holsteiner,23,mare,straw,17.1,10.1,2.8,Hanover,impaction,0,pasture,21+,mare_pasture,True
1552,Shetlandpony,2,stallion,corn,19.3,9.9,0.0,Berlin,spasmodic,0,stable,0-5,stallion_stable,True
1553,Württemberger,14,stallion,haylage,0.1,-4.5,2.0,Berlin,gas,0,paddock,11-15,stallion_paddock,True
1554,Englische Vollblüter,26,gelding,silage,6.2,0.4,0.4,Munich,displacement,0,pasture,21+,gelding_pasture,True
1555,Haflinger,18,gelding,fresh grass,18.5,8.6,0.0,Stuttgart,displacement,0,pasture,16-20,gelding_pasture,True
1556,Holsteiner,5,gelding,corn,9.4,4.4,0.1,Dresden,sand,0,pasture,0-5,gelding_pasture,True
1557,Deutsches Reitpony,12,stallion,corn,21.2,13.9,1.3,Hamburg,sand,0,paddock,11-15,stallion_paddock,True
1558,Haflinger,24,mare,silage,14.7,10.0,15.0,Hanover,spasmodic,0,paddock,21+,mare_paddock,True
1559,Oldenburger,30,gelding,silage,12.9,7.1,0.0,Cologne,spasmodic,0,pasture,21+,gelding_pasture,True
1560,Shetlandpony,11,mare,straw,31.1,18.6,2.4,Munich,impaction,0,stable,11-15,mare_stable,True
1561,Arabisches Vollblut,14,gelding,pellets,30.3,18.1,0.1,Dresden,spasmodic,0,paddock,11-15,gelding_paddock,True
1562,Deutsches Reitpony,12,mare,fresh grass,3.7,-2.5,1.3,Nuremberg,spasmodic,0,pasture,11-15,mare_pasture,True
1563,Shetlandpony,22,stallion,pellets,15.6,9.3,1.4,Leipzig,impaction,0,pasture,21+,stallion_pasture,True
1564,Haflinger,22,stallion,haylage,16.2,9.1,0.3,Berlin,torsion,0,pasture,21+,stallion_pasture,True
1565,Westfale,29,stallion,hay,13.0,4.6,0.0,Cologne,spasmodic,0,stable,21+,stallion_stable,True
1566,American Quarter Horse,17,mare,silage,17.0,2.7,0.0,Stuttgart,spasmodic,0,paddock,16-20,mare_paddock,True
1567,Trakehner,4,gelding,straw,10.7,7.7,1.7,Hamburg,gas,0,pasture,0-5,gelding_pasture,True
1568,Islandpferd,10,mare,straw,13.2,4.6,0.0,Munich,spasmodic,0,stable,6-10,mare_stable,True
1569,Shetlandpony,9,mare,corn,10.3,6.8,7.8,Frankfurt,sand,0,stable,6-10,mare_stable,True
1570,Islandpferd,28,gelding,hay,14.0,1.2,0.0,Hanover,gas,0,pasture,21+,gelding_pasture,True
1571,Islandpferd,4,stallion,hay,16.1,5.7,0.6,Frankfurt,sand,0,paddock,0-5,stallion_paddock,True
1572,Haflinger,8,gelding,straw,8.6,-2.0,0.3,Hamburg,sand,0,pasture,6-10,gelding_pasture,True
1573,Islandpferd,26,gelding,hay,19.8,15.5,8.0,Cologne,sand,0,pasture,21+,gelding_pasture,True
1574,Hannoveraner,25,stallion,straw,4.8,1.4,1.2,Hamburg,impaction,0,stable,21+,stallion_stable,True
1575,Appaloosa,26,gelding,pellets,23.0,9.5,0.0,Hanover,spasmodic,0,paddock,21+,gelding_paddock,True
1576,Württemberger,14,stallion,haylage,25.3,15.3,0.0,Stuttgart,displacement,0,paddock,11-15,stallion_paddock,True
1577,Haflinger,18,stallion,corn,11.7,0.4,2.1,Stuttgart,impaction,0,paddock,16-20,stallion_paddock,True
1578,Paint Horse,30,mare,haylage,10.0,5.5,9.4,Hamburg,gas,0,pasture,21+,mare_pasture,True
1579,Oldenburger,29,stallion,fresh grass,31.5,17.8,10.6,Hanover,displacement,0,paddock,21+,stallion_paddock,True
1580,Islandpferd,10,mare,silage,4.7,-4.9,0.0,Stuttgart,gas,0,paddock,6-10,mare_paddock,True
1581,Arabisches Vollblut,12,mare,straw,4.6,0.6,0.2,Berlin,impaction,0,stable,11-15,mare_stable,True
1582,Westfale,7,stallion,fresh grass,26.1,10.3,0.0,Nuremberg,displacement,0,stable,6-10,stallion_stable,True
1583,Trakehner,2,gelding,hay,11.7,-0.9,0.0,Munich,gas,0,stable,0-5,gelding_stable,True
1584,Islandpferd,19,stallion,silage,32.9,19.9,0.1,Dresden,displacement,0,stable,16-20,stallion_stable,True
1585,Appaloosa,12,gelding,silage,16.5,-3.1,0.0,Frankfurt,torsion,0,pasture,11-15,gelding_pasture,True
1586,Islandpferd,12,mare,fresh grass,5.0,1.4,14.8,Leipzig,sand,0,stable,11-15,mare_stable,True
1587,Arabisches Vollblut,11,stallion,haylage,6.7,-5.3,0.0,Munich,sand,0,stable,11-15,stallion_stable,True
1588,Islandpferd,29,gelding,pellets,26.0,16.9,0.9,Nuremberg,spasmodic,0,pasture,21+,gelding_pasture,True
1589,Englische Vollblüter,25,gelding,haylage,12.2,1.2,0.0,Berlin,spasmodic,0,paddock,21+,gelding_paddock,True
1590,Englische Vollblüter,2,mare,pellets,26.5,12.2,0.0,Frankfurt,gas,0,stable,0-5,mare_stable,True
1591,Appaloosa,20,gelding,straw,16.8,9.4,0.3,Dresden,displacement,0,pasture,16-20,gelding_pasture,True
1592,Hannoveraner,20,gelding,haylage,25.9,19.4,7.0,Cologne,gas,0,paddock,16-20,gelding_paddock,True
1593,Friese,4,mare,straw,23.2,16.1,0.0,Frankfurt,torsion,0,stable,0-5,mare_stable,True
1594,Oldenburger,3,stallion,straw,18.3,9.8,0.0,Munich,sand,0,pasture,0-5,stallion_pasture,True
1595,Appaloosa,9,stallion,haylage,19.1,14.7,5.4,Stuttgart,gas,0,pasture,6-10,stallion_pasture,True
1596,Appaloosa,1,gelding,hay,35.5,21.8,0.0,Hanover,sand,0,stable,0-5,gelding_stable,True
1597,Englische Vollblüter,19,mare,pellets,13.8,11.4,4.8,Hamburg,sand,0,stable,16-20,mare_stable,True
1598,Appaloosa,20,gelding,pellets,15.8,8.0,0.2,Cologne,impaction,0,stable,16-20,gelding_stable,True
1599,Arabisches Vollblut,21,gelding,corn,20.4,12.5,0.8,Munich,displacement,0,pasture,21+,gelding_pasture,True
1600,Arabisches Vollblut,20,stallion,fresh grass,3.0,-0.4,2.0,Nuremberg,gas,0,paddock,16-20,stallion_paddock,True
1601,Appaloosa,7,mare,straw,4.1,-0.2,1.7,Hamburg,sand,0,paddock,6-10,mare_paddock,True
1602,American Quarter Horse,14,stallion,silage,23.6,15.7,17.3,Nuremberg,torsion,0,pasture,11-15,stallion_pasture,True
1603,Holsteiner,27,mare,pellets,11.7,-1.1,0.0,Frankfurt,spasmodic,0,paddock,21+,mare_paddock,True
1604,Trakehner,17,gelding,corn,2.3,-1.0,1.1,Dresden,gas,0,paddock,16-20,gelding_paddock,True
1605,Islandpferd,24,stallion,haylage,15.8,8.0,0.2,Cologne,impaction,0,pasture,21+,stallion_pasture,True
1606,Holsteiner,21,gelding,pellets,24.9,13.1,0.0,Berlin,gas,0,stable,21+,gelding_stable,True
1607,Islandpferd,10,mare,pellets,6.2,-0.4,3.3,Stuttgart,torsion,0,paddock,6-10,mare_paddock,True
1608,Deutsches Reitpony,9,mare,haylage,0.7,-1.9,0.0,Hamburg,gas,0,stable,6-10,mare_stable,True
1609,American Quarter Horse,29,mare,straw,23.1,11.2,0.0,Stuttgart,impaction,0,pasture,21+,mare_pasture,True
1610,Trakehner,16,gelding,hay,27.4,18.6,0.0,Hanover,sand,0,pasture,16-20,gelding_pasture,True
1611,Islandpferd,23,gelding,pellets,16.3,5.6,0.0,Hanover,sand,0,stable,21+,gelding_stable,True
1612,Shetlandpony,24,gelding,silage,20.8,13.4,0.4,Hamburg,displacement,0,stable,21+,gelding_stable,True
1613,Shetlandpony,18,gelding,silage,28.3,15.1,1.2,Munich,displacement,0,stable,16-20,gelding_stable,True
1614,Trakehner,9,gelding,fresh grass,24.2,14.6,1.1,Munich,gas,0,stable,6-10,gelding_stable,True
1615,Andalusier,10,stallion,silage,3.8,-2.7,0.0,Berlin,displacement,0,stable,6-10,stallion_stable,True
1616,Paint Horse,29,mare,haylage,18.9,7.3,0.0,Cologne,spasmodic,0,stable,21+,mare_stable,True
1617,Welsh Pony,26,stallion,haylage,19.7,12.9,0.5,Frankfurt,spasmodic,0,stable,21+,stallion_stable,True
1618,Westfale,18,mare,hay,27.3,21.2,3.7,Cologne,spasmodic,0,pasture,16-20,mare_pasture,True
1619,Arabisches Vollblut,9,gelding,fresh grass,25.4,16.5,2.3,Munich,gas,0,pasture,6-10,gelding_pasture,True
1620,Hannoveraner,2,mare,silage,4.4,-3.5,0.1,Berlin,gas,0,pasture,0-5,mare_pasture,True
1621,Appaloosa,6,stallion,corn,16.6,9.6,0.3,Hamburg,gas,0,stable,6-10,stallion_stable,True
1622,Andalusier,17,gelding,straw,3.6,-3.6,0.1,Munich,displacement,0,pasture,16-20,gelding_pasture,True
1623,Islandpferd,20,mare,fresh grass,28.0,20.5,4.0,Cologne,gas,0,stable,16-20,mare_stable,True
1624,Trakehner,20,gelding,pellets,19.0,13.6,19.6,Berlin,displacement,0,paddock,16-20,gelding_paddock,True
1625,Welsh Pony,23,stallion,hay,12.1,3.7,4.4,Nuremberg,spasmodic,0,pasture,21+,stallion_pasture,True
1626,Hannoveraner,2,stallion,straw,19.9,12.7,0.7,Hamburg,sand,0,paddock,0-5,stallion_paddock,True
1627,Islandpferd,3,stallion,haylage,29.7,21.2,0.2,Nuremberg,sand,0,paddock,0-5,stallion_paddock,True
1628,American Quarter Horse,11,stallion,haylage,18.3,4.0,0.8,Nuremberg,impaction,0,paddock,11-15,stallion_paddock,True
1629,Andalusier,2,stallion,pellets,9.8,7.9,1.6,Cologne,spasmodic,0,stable,0-5,stallion_stable,True
1630,Shetlandpony,1,gelding,fresh grass,5.9,1.8,6.2,Hanover,gas,0,stable,0-5,gelding_stable,True
1631,Paint Horse,4,stallion,silage,12.0,4.3,23.3,Nuremberg,sand,0,paddock,0-5,stallion_paddock,True
1632,Holsteiner,15,mare,hay,9.6,-2.6,0.0,Hanover,impaction,0,stable,11-15,mare_stable,True
1633,Deutsches Reitpony,22,mare,pellets,6.1,-1.1,0.0,Munich,sand,0,pasture,21+,mare_pasture,True
1634,Arabisches Vollblut,26,stallion,fresh grass,17.3,12.1,0.3,Berlin,gas,0,stable,21+,stallion_stable,True
1635,Oldenburger,18,gelding,corn,15.5,9.6,5.4,Munich,gas,0,stable,16-20,gelding_stable,True
1636,Friese,26,mare,silage,6.7,3.0,1.8,Berlin,displacement,0,pasture,21+,mare_pasture,True
1637,Welsh Pony,4,gelding,fresh grass,10.5,4.5,1.0,Dresden,gas,0,stable,0-5,gelding_stable,True
1638,Deutsches Reitpony,24,stallion,silage,23.9,10.2,0.0,Cologne,spasmodic,0,pasture,21+,stallion_pasture,True
1639,Englische Vollblüter,7,mare,haylage,2.6,-5.0,0.3,Nuremberg,spasmodic,0,stable,6-10,mare_stable,True
1640,Englische Vollblüter,13,gelding,haylage,15.0,12.6,6.7,Leipzig,sand,0,pasture,11-15,gelding_pasture,True
1641,Westfale,7,gelding,hay,29.8,19.9,0.6,Nuremberg,sand,0,paddock,6-10,gelding_paddock,True
1642,American Quarter Horse,6,stallion,hay,6.5,1.8,0.0,Stuttgart,impaction,0,pasture,6-10,stallion_pasture,True
1643,Westfale,5,stallion,silage,9.6,0.2,0.0,Stuttgart,displacement,0,stable,0-5,stallion_stable,True
1644,Oldenburger,24,gelding,fresh grass,13.2,4.7,0.0,Cologne,gas,0,pasture,21+,gelding_pasture,True
1645,Islandpferd,5,gelding,silage,18.3,11.4,0.0,Dresden,gas,0,pasture,0-5,gelding_pasture,True
1646,Holsteiner,24,stallion,haylage,22.8,16.2,18.7,Munich,gas,0,pasture,21+,stallion_pasture,True
1647,Appaloosa,11,gelding,fresh grass,9.5,5.8,0.0,Cologne,spasmodic,0,paddock,11-15,gelding_paddock,True
1648,Shetlandpony,14,gelding,pellets,-0.9,-6.6,0.0,Nuremberg,impaction,0,stable,11-15,gelding_stable,True
1649,Paint Horse,12,mare,straw,21.3,14.5,2.4,Stuttgart,impaction,0,pasture,11-15,mare_pasture,True
1650,Islandpferd,17,gelding,silage,27.6,16.0,0.0,Leipzig,spasmodic,0,pasture,16-20,gelding_pasture,True
1651,Paint Horse,7,stallion,corn,6.8,3.2,5.3,Hamburg,spasmodic,0,paddock,6-10,stallion_paddock,True
1652,Islandpferd,16,gelding,corn,5.7,-1.7,7.2,Leipzig,spasmodic,0,pasture,16-20,gelding_pasture,True
1653,Lipizzaner,1,mare,straw,12.4,0.9,0.0,Frankfurt,spasmodic,0,pasture,0-5,mare_pasture,True
1654,Haflinger,9,stallion,pellets,11.2,2.7,1.1,Frankfurt,impaction,0,pasture,6-10,stallion_pasture,True
1655,Arabisches Vollblut,4,stallion,pellets,8.9,5.1,24.4,Stuttgart,impaction,0,stable,0-5,stallion_stable,True
1656,Deutsches Reitpony,12,gelding,silage,4.9,0.8,1.0,Dresden,displacement,0,stable,11-15,gelding_stable,True
1657,Paint Horse,10,mare,pellets,20.4,13.0,0.5,Hamburg,impaction,0,stable,6-10,mare_stable,True
1658,Appaloosa,14,gelding,fresh grass,9.4,-1.1,0.0,Cologne,spasmodic,0,paddock,11-15,gelding_paddock,True
1659,Shetlandpony,24,mare,fresh grass,20.7,8.1,1.5,Cologne,displacement,0,pasture,21+,mare_pasture,True
1660,Paint Horse,14,mare,straw,9.5,1.5,0.3,Leipzig,displacement,0,pasture,11-15,mare_pasture,True
1661,Paint Horse,15,gelding,pellets,-1.9,-4.7,0.0,Berlin,spasmodic,0,pasture,11-15,gelding_pasture,True
1662,Islandpferd,28,gelding,straw,6.7,3.7,0.0,Frankfurt,impaction,0,paddock,21+,gelding_paddock,True
1663,Württemberger,1,stallion,hay,12.3,-0.6,0.2,Dresden,sand,0,paddock,0-5,stallion_paddock,True
1664,Arabisches Vollblut,5,gelding,pellets,8.6,-3.2,0.0,Munich,spasmodic,0,paddock,0-5,gelding_paddock,True
1665,Englische Vollblüter,3,mare,straw,11.7,7.8,3.5,Hamburg,spasmodic,0,stable,0-5,mare_stable,True
1666,Welsh Pony,16,stallion,silage,32.2,20.2,0.0,Cologne,torsion,0,pasture,16-20,stallion_pasture,True
1667,Oldenburger,12,stallion,hay,22.7,13.0,0.0,Nuremberg,gas,0,pasture,11-15,stallion_pasture,True
1668,Paint Horse,13,gelding,fresh grass,6.0,-2.3,4.1,Frankfurt,spasmodic,0,pasture,11-15,gelding_pasture,True
1669,Holsteiner,18,mare,haylage,4.7,1.8,1.0,Hamburg,impaction,0,stable,16-20,mare_stable,True
1670,Trakehner,18,stallion,haylage,7.9,3.2,5.5,Frankfurt,spasmodic,0,paddock,16-20,stallion_paddock,True
1671,Lipizzaner,23,stallion,hay,9.9,6.0,2.0,Hamburg,impaction,0,pasture,21+,stallion_pasture,True
1672,Shetlandpony,10,stallion,fresh grass,24.7,17.8,3.0,Nuremberg,spasmodic,0,paddock,6-10,stallion_paddock,True
1673,Appaloosa,26,gelding,fresh grass,3.3,-4.0,0.1,Berlin,displacement,0,paddock,21+,gelding_paddock,True
1674,Deutsches Reitpony,22,mare,fresh grass,27.6,14.8,0.0,Nuremberg,sand,0,stable,21+,mare_stable,True
1675,Welsh Pony,5,mare,pellets,25.7,16.8,0.1,Berlin,impaction,0,paddock,0-5,mare_paddock,True
1676,Welsh Pony,10,stallion,pellets,23.1,16.1,0.1,Berlin,displacement,0,paddock,6-10,stallion_paddock,True
1677,Friese,4,mare,hay,7.5,3.9,8.5,Berlin,gas,0,pasture,0-5,mare_pasture,True
1678,Welsh Pony,5,mare,silage,24.9,10.8,0.0,Dresden,displacement,0,paddock,0-5,mare_paddock,True
1679,Friese,26,mare,haylage,5.9,1.3,29.8,Nuremberg,spasmodic,0,stable,21+,mare_stable,True
1680,Haflinger,13,mare,hay,15.8,11.0,0.0,Berlin,sand,0,pasture,11-15,mare_pasture,True
1681,Andalusier,17,stallion,haylage,16.5,9.0,0.3,Cologne,spasmodic,0,paddock,16-20,stallion_paddock,True
1682,Welsh Pony,15,mare,silage,13.3,7.6,0.2,Cologne,impaction,0,pasture,11-15,mare_pasture,True
1683,Andalusier,11,mare,hay,13.2,2.6,0.0,Munich,sand,0,stable,11-15,mare_stable,True
1684,Appaloosa,24,gelding,fresh grass,18.1,11.5,5.1,Hamburg,torsion,0,stable,21+,gelding_stable,True
1685,Holsteiner,1,stallion,hay,22.5,12.4,0.0,Hanover,sand,0,paddock,0-5,stallion_paddock,True
1686,Andalusier,15,stallion,haylage,9.7,-1.3,0.0,Cologne,torsion,0,paddock,11-15,stallion_paddock,True
1687,Trakehner,5,gelding,haylage,28.5,19.3,0.6,Nuremberg,spasmodic,0,paddock,0-5,gelding_paddock,True
1688,Hannoveraner,4,gelding,fresh grass,9.5,-0.2,0.0,Frankfurt,gas,0,stable,0-5,gelding_stable,True
1689,Arabisches Vollblut,6,stallion,silage,15.2,1.2,0.0,Nuremberg,displacement,0,stable,6-10,stallion_stable,True
1690,Welsh Pony,10,stallion,corn,6.4,4.3,0.0,Leipzig,displacement,0,stable,6-10,stallion_stable,True
1691,Württemberger,20,stallion,straw,12.3,7.5,20.1,Nuremberg,spasmodic,0,pasture,16-20,stallion_pasture,True
1692,Hannoveraner,12,stallion,hay,15.1,7.4,0.0,Berlin,sand,0,pasture,11-15,stallion_pasture,True
1693,Islandpferd,24,stallion,corn,-2.2,-3.8,1.3,Leipzig,displacement,0,pasture,21+,stallion_pasture,True
1694,Islandpferd,21,gelding,haylage,34.8,18.9,0.0,Hanover,gas,0,pasture,21+,gelding_pasture,True
1695,Trakehner,21,mare,fresh grass,21.2,15.9,15.8,Cologne,spasmodic,0,pasture,21+,mare_pasture,True
1696,Paint Horse,4,stallion,straw,17.0,5.0,0.0,Munich,sand,0,paddock,0-5,stallion_paddock,True
1697,Friese,14,stallion,pellets,17.7,9.2,0.0,Nuremberg,gas,0,pasture,11-15,stallion_pasture,True
1698,Andalusier,5,gelding,corn,4.3,0.3,0.3,Hamburg,spasmodic,0,pasture,0-5,gelding_pasture,True
1699,Trakehner,5,gelding,hay,31.6,19.5,0.0,Nuremberg,impaction,0,pasture,0-5,gelding_pasture,True
1700,Shetlandpony,10,gelding,fresh grass,11.9,-2.6,0.0,Stuttgart,spasmodic,0,pasture,6-10,gelding_pasture,True
1701,Trakehner,15,mare,fresh grass,4.4,1.9,0.9,Berlin,torsion,0,paddock,11-15,mare_paddock,True
1702,Westfale,24,mare,haylage,19.3,10.9,0.2,Berlin,sand,0,stable,21+,mare_stable,True
1703,Holsteiner,10,gelding,straw,7.6,4.7,0.3,Dresden,displacement,0,pasture,6-10,gelding_pasture,True
1704,Lipizzaner,17,mare,hay,2.1,-1.1,8.4,Munich,sand,0,stable,16-20,mare_stable,True
1705,Holsteiner,3,mare,haylage,3.6,-2.1,0.4,Leipzig,displacement,0,paddock,0-5,mare_paddock,True
1706,Friese,20,mare,pellets,1.4,-0.8,1.2,Dresden,impaction,0,paddock,16-20,mare_paddock,True
1707,Westfale,24,mare,fresh grass,12.4,0.9,0.0,Frankfurt,sand,0,pasture,21+,mare_pasture,True
1708,Westfale,13,stallion,corn,11.3,7.7,2.7,Hamburg,displacement,0,paddock,11-15,stallion_paddock,True
1709,Islandpferd,26,stallion,straw,6.3,-0.2,3.0,Hanover,impaction,0,pasture,21+,stallion_pasture,True
1710,Hannoveraner,7,gelding,silage,0.0,-6.0,9.7,Nuremberg,impaction,0,pasture,6-10,gelding_pasture,True
1711,Oldenburger,18,gelding,haylage,24.9,18.2,7.0,Nuremberg,displacement,0,paddock,16-20,gelding_paddock,True
1712,Westfale,7,stallion,silage,22.0,15.0,0.5,Stuttgart,displacement,0,stable,6-10,stallion_stable,True
1713,Holsteiner,30,gelding,silage,9.4,4.3,0.8,Leipzig,displacement,0,stable,21+,gelding_stable,True
1714,Paint Horse,29,mare,fresh grass,9.6,3.8,3.2,Hamburg,displacement,0,stable,21+,mare_stable,True
1715,Lipizzaner,1,stallion,pellets,31.5,19.9,0.5,Cologne,impaction,0,stable,0-5,stallion_stable,True
1716,Appaloosa,7,stallion,hay,15.7,6.0,0.0,Frankfurt,sand,0,paddock,6-10,stallion_paddock,True
1717,Englische Vollblüter,4,stallion,corn,23.0,14.8,0.1,Hamburg,torsion,0,paddock,0-5,stallion_paddock,True
1718,Deutsches Reitpony,17,gelding,hay,28.5,16.3,0.0,Cologne,sand,0,stable,16-20,gelding_stable,True
1719,Islandpferd,5,gelding,hay,11.9,5.8,15.9,Stuttgart,spasmodic,0,pasture,0-5,gelding_pasture,True
1720,American Quarter Horse,9,mare,straw,23.3,16.4,13.0,Cologne,torsion,0,pasture,6-10,mare_pasture,True
1721,Shetlandpony,5,gelding,corn,12.0,-2.5,1.2,Stuttgart,sand,0,pasture,0-5,gelding_pasture,True
1722,Shetlandpony,26,mare,fresh grass,24.3,16.3,26.8,Munich,sand,0,pasture,21+,mare_pasture,True
1723,Hannoveraner,27,gelding,hay,5.4,-3.7,0.9,Frankfurt,torsion,0,stable,21+,gelding_stable,True
1724,Friese,23,mare,pellets,22.2,15.7,1.5,Stuttgart,torsion,0,paddock,21+,mare_paddock,True
1725,Württemberger,16,gelding,corn,21.7,9.5,0.6,Munich,gas,0,paddock,16-20,gelding_paddock,True
1726,Deutsches Reitpony,7,gelding,straw,22.1,13.1,2.3,Munich,impaction,0,stable,6-10,gelding_stable,True
1727,Westfale,7,stallion,silage,22.7,12.6,0.4,Munich,displacement,0,stable,6-10,stallion_stable,True
1728,Lipizzaner,4,mare,haylage,13.7,1.8,0.0,Frankfurt,gas,0,paddock,0-5,mare_paddock,True
1729,Deutsches Reitpony,2,mare,straw,18.7,9.7,0.0,Hamburg,torsion,0,pasture,0-5,mare_pasture,True
1730,Deutsches Reitpony,8,gelding,haylage,5.8,1.1,1.3,Cologne,spasmodic,0,pasture,6-10,gelding_pasture,True
1731,Hannoveraner,4,stallion,fresh grass,5.0,2.1,0.0,Stuttgart,gas,0,pasture,0-5,stallion_pasture,True
1732,Oldenburger,9,gelding,pellets,20.3,9.2,0.0,Leipzig,gas,0,pasture,6-10,gelding_pasture,True
1733,Trakehner,9,gelding,pellets,6.3,-2.0,0.0,Berlin,displacement,0,stable,6-10,gelding_stable,True
1734,Englische Vollblüter,22,mare,silage,10.1,8.1,14.7,Frankfurt,displacement,0,stable,21+,mare_stable,True
1735,Paint Horse,26,mare,haylage,8.4,4.0,3.9,Frankfurt,spasmodic,0,paddock,21+,mare_paddock,True
1736,Andalusier,20,stallion,straw,23.3,13.5,0.2,Munich,gas,0,stable,16-20,stallion_stable,True
1737,Holsteiner,16,stallion,fresh grass,18.7,6.6,0.0,Berlin,impaction,0,pasture,16-20,stallion_pasture,True
1738,Welsh Pony,21,mare,fresh grass,25.5,17.5,10.7,Frankfurt,displacement,0,stable,21+,mare_stable,True
1739,Lipizzaner,4,mare,fresh grass,21.2,9.2,0.0,Hanover,gas,0,stable,0-5,mare_stable,True
1740,Haflinger,30,gelding,pellets,16.9,9.4,0.5,Cologne,impaction,0,stable,21+,gelding_stable,True
1741,Welsh Pony,22,mare,silage,24.9,7.0,0.0,Munich,displacement,0,stable,21+,mare_stable,True
1742,Württemberger,25,gelding,haylage,31.0,22.6,14.4,Hanover,impaction,0,pasture,21+,gelding_pasture,True
1743,Shetlandpony,21,mare,haylage,9.4,2.4,0.0,Cologne,gas,0,pasture,21+,mare_pasture,True
1744,Holsteiner,4,gelding,silage,1.5,0.8,5.6,Dresden,impaction,0,paddock,0-5,gelding_paddock,True
1745,Paint Horse,22,gelding,silage,26.7,13.9,0.0,Stuttgart,displacement,0,stable,21+,gelding_stable,True
1746,Englische Vollblüter,4,stallion,hay,31.9,20.2,0.0,Leipzig,impaction,0,stable,0-5,stallion_stable,True
1747,Westfale,10,gelding,hay,27.1,18.6,0.0,Cologne,gas,0,pasture,6-10,gelding_pasture,True
1748,Holsteiner,18,stallion,haylage,23.9,9.5,0.0,Hanover,impaction,0,pasture,16-20,stallion_pasture,True
1749,Deutsches Reitpony,19,stallion,hay,7.2,-0.1,1.5,Berlin,sand,0,paddock,16-20,stallion_paddock,True
1750,American Quarter Horse,13,mare,pellets,8.6,1.2,0.0,Nuremberg,sand,0,pasture,11-15,mare_pasture,True
1751,Shetlandpony,24,stallion,silage,7.8,1.6,1.0,Munich,torsion,0,pasture,21+,stallion_pasture,True
1752,Hannoveraner,19,stallion,fresh grass,22.3,9.4,0.0,Nuremberg,gas,0,paddock,16-20,stallion_paddock,True
1753,Holsteiner,25,gelding,pellets,11.2,5.8,0.0,Cologne,impaction,0,paddock,21+,gelding_paddock,True
1754,Holsteiner,4,mare,corn,10.5,4.9,5.0,Munich,torsion,0,paddock,0-5,mare_paddock,True
1755,American Quarter Horse,23,stallion,straw,11.6,-2.8,0.0,Nuremberg,impaction,0,stable,21+,stallion_stable,True
1756,American Quarter Horse,27,mare,straw,29.1,19.4,0.0,Cologne,impaction,0,paddock,21+,mare_paddock,True
1757,Haflinger,9,gelding,straw,18.0,9.6,0.2,Munich,sand,0,stable,6-10,gelding_stable,True
1758,American Quarter Horse,30,mare,pellets,29.6,14.0,0.0,Stuttgart,impaction,0,paddock,21+,mare_paddock,True
1759,Haflinger,12,mare,pellets,11.8,7.0,2.1,Hanover,spasmodic,0,paddock,11-15,mare_paddock,True
1760,Holsteiner,28,gelding,fresh grass,23.2,16.8,91.4,Nuremberg,displacement,0,stable,21+,gelding_stable,True
